|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| regfile_size  |              2 |              4 |              8 |             16 |              49 |             112 |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| design_area   | 13265.952_um^2 | 14545.146_um^2 | 16990.484_um^2 | 21930.104_um^2 | 41422.052_um^2  | 78297.366_um^2  |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| stdcells_area | 13265.952_um^2 | 14545.146_um^2 | 16990.484_um^2 | 21930.104_um^2 | 41422.052_um^2  | 78297.366_um^2  |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| chip_area     | 45527.602_um^2 | 48403.807_um^2 | 53828.611_um^2 | 63940.708_um^2 | 101891.513_um^2 | 167882.761_um^2 |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| core_area     | 19159.98_um^2  | 21041.664_um^2 | 24667.776_um^2 | 31653.734_um^2 | 59660.076_um^2  | 112080.962_um^2 |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| exec_time     | 4720_cycles    | 4328_cycles    | 4132_cycles    | 4034_cycles    | 3968_cycles     | 3950_cycles     |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| actual_clk    | 3.404_ns       | 3.437_ns       | 3.339_ns       | 3.397_ns       | 3.585_ns        | 3.646_ns        |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| power         | 1.571_mW       | 1.63_mW        | 1.814_mW       | 2.201_mW       | 3.95_mW         | 8.075_mW        |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
| energy        | 29.6605_nJ     | 28.2186_nJ     | 29.9818_nJ     | 35.5153_nJ     | 62.6944_nJ      | 127.585_nJ      |
|---------------|----------------|----------------|----------------|----------------|-----------------|-----------------|
