A,B,A*B in C,D,E,D+E in C,,Expected,Difference
0,-371,0,0,0,0,,,
0,1617,0,0,0,0,,,
0,1310,0,0,0,0,,,
0,61,0,0,0,0,,,
0,-589,0,0,0,0,,,
0,72,0,0,0,0,,,
0,-1661,0,0,0,0,,,
0,-321,0,0,0,0,,,
0,-1506,0,0,0,0,,,
0,-725,0,0,0,0,,,
0,103,0,0,0,0,,,
0,-1408,0,0,0,0,,,
0,684,0,0,0,0,,,
0,-2327,0,0,0,0,,,
0,-1732,0,0,0,0,,,
0,-949,0,0,0,0,,,
0,1742,0,0,0,0,,,
0,-1087,0,0,0,0,,,
0,460,0,0,0,0,,,
0,-1041,0,0,0,0,,,
0,1316,0,0,0,0,,,
0,-1321,0,0,0,0,,,
0,2144,0,0,0,0,,,
0,-49,0,0,0,0,,,
0,1158,0,0,0,0,,,
0,-1185,0,0,0,0,,,
0,756,0,0,0,0,,,
0,-1178,0,0,0,0,,,
0,544,0,0,0,0,,,
0,894,0,0,0,0,,,
0,-822,0,0,0,0,,,
0,-509,0,0,0,0,,,
0,-1590,0,0,0,0,,,
0,42,0,0,0,0,,,
0,563,0,0,0,0,,,
0,-1027,0,0,0,0,,,
0,-1743,0,0,0,0,,,
0,-690,0,0,0,0,,,
0,-824,0,0,0,0,,,
0,-2195,0,0,0,0,,,
0,-2231,0,0,0,0,,,
0,899,0,0,0,0,,,
0,-1005,0,0,0,0,,,
0,-1252,0,0,0,0,,,
0,324,0,0,0,0,,,
0,990,0,0,0,0,,,
0,2112,0,0,0,0,,,
0,-992,0,0,0,0,,,
0,1481,0,0,0,0,,,
0,-817,0,0,0,0,,,
0,-729,0,0,0,0,,,
0,220,0,0,0,0,,,
0,-1446,0,0,0,0,,,
0,-1217,0,0,0,0,,,
0,338,0,0,0,0,,,
0,-266,0,0,0,0,,,
0,204,0,0,0,0,,,
0,1200,0,0,0,0,,,
0,2077,0,0,0,0,,,
0,-651,0,0,0,0,,,
0,2123,0,0,0,0,,,
0,446,0,0,0,0,,,
0,-850,0,0,0,0,,,
0,744,0,0,0,0,,,
0,1715,0,0,0,0,,,
0,1475,0,0,0,0,,,
0,96,0,0,0,0,,,
0,-712,0,0,0,0,,,
0,-1211,0,0,0,0,,,
0,1255,0,0,0,0,,,
0,-762,0,0,0,0,,,
0,256,0,0,0,0,,,
0,-314,0,0,0,0,,,
0,125,0,0,0,0,,,
0,489,0,0,0,0,,,
0,-2078,0,0,0,0,,,
0,-613,0,0,0,0,,,
0,2158,0,0,0,0,,,
0,-1219,0,0,0,0,,,
0,-1030,0,0,0,0,,,
0,1621,0,0,0,0,,,
0,1085,0,0,0,0,,,
0,659,0,0,0,0,,,
0,1232,0,0,0,0,,,
0,425,0,0,0,0,,,
